Bi_grams,Frequency
"('RB', 'QT_QTF')",17
"('CC_CCD', 'QT_QTF')",17
"('JJ', 'V_VM_VF')",17
"('DM_DMD', 'RD_PUNC')",17
"('N_NNP', 'DM_DMQ')",17
"('RP_RPD', 'DM_DMR')",16
"('QT_QTF', 'QT_QTC')",16
"('V_VM_VINF', 'V_VM_VF')",16
"('PR_PRP', 'RD_SYM')",16
"('N_NST', 'DM_DMQ')",16
"('V_VM_VNG', 'RP_RPD')",15
"('PSP', 'RP_RPD')",15
"('RD_SYM', 'CC_CCD')",15
"('CC_CCD', 'DM_DMR')",15
"('RD_PUNC', 'RP_INTF')",15
"('RB', 'PSP')",15
"('N_NST', 'V_VM_VNG')",14
"('PR_PRP', 'CC_CCD')",14
"('N_NNP', 'RP_RPD')",14
"('V_VM_VINF', 'DM_DMR')",14
"('V_VM_VNG', 'JJ')",13
"('PSP', 'DM_DMQ')",13
"('QT_QTC', 'PR_PRP')",13
"('V_VM_VNG', 'PR_PRP')",13
"('RD_SYM', 'RB')",13
"('RP_RPD', 'DM_DMQ')",13
"('N_NNP', 'DM_DMD')",13
"('PR_PRP', 'QT_QTO')",13
"('DM_DMQ', 'DM_DMQ')",13
"('RP_NEG', 'V_VM_VNF')",13
"('RP_RPD', 'V_VM_VINF')",12
"('RD_SYM', 'DM_DMQ')",12
"('CC_CCD', 'DM_DMQ')",12
"('DM_DMD', 'V_VM_VINF')",12
"('N_NST', 'QT_QTF')",12
"('V_VM_VNG', 'DM_DMQ')",11
"('RB', 'DM_DMR')",11
"('CC_CCD', 'N_NST')",11
"('QT_QTF', 'RD_PUNC')",10
"('PSP', 'DM_DMR')",10
"('RD_PUNC', 'V_VM_VNG')",10
"('CC_CCS_UT', 'RD_PUNC')",10
"('N_NNP', 'CC_CCS_UT')",10
"('RP_RPD', 'RD_SYM')",10
"('RD_UNK', 'RD_UNK')",10
"('PSP', 'RD_SYM')",10
"('PSP', 'PSP')",10
"('N_NST', 'RD_SYM')",10
"('CC_CCS', 'QT_QTC')",10
"('CC_CCS_UT', 'RB')",10
"('QT_QTC', 'CC_CCS_UT')",10
"('V_VAUX', 'PR_PRP')",9
"('QT_QTF', 'N_NST')",9
"('V_VM_VNG', 'RB')",9
"('PSP', 'RP_INTF')",9
"('CC_CCS_UT', 'N_NNP')",9
"('QT_QTF', 'PR_PRP')",9
"('V_VM_VINF', 'V_VM_VINF')",9
"('RP_NEG', 'PR_PRP')",9
"('RD_PUNC', 'QT_QTO')",9
"('QT_QTC', 'DM_DMR')",9
"('RP_RPD', 'RP_RPD')",8
"('PSP', 'RP_NEG')",8
"('V_VM_VNF', 'CC_CCS')",8
"('CC_CCS', 'PR_PRP')",8
"('QT_QTC', 'RP_RPD')",8
"('V_VM_VNF', 'QT_QTO')",8
"('RD_SYM', 'V_VM_VINF')",8
"('N_NNP', 'QT_QTF')",8
"('V_VM_VNG', 'RP_INTF')",8
"('DM_DMD', 'RD_SYM')",8
"('V_VM_VNG', 'QT_QTF')",8
"('N_NN', 'PR_PRL')",8
"('RD_SYM', 'CC_CCS_UT')",8
"('V_VM_VF', 'N_NN')",7
"('N_NST', 'DM_DMR')",7
"('PSP', 'CC_CCD')",7
"('CC_CCS', 'V_VM_VNF')",7
"('V_VM_VF', 'N_NNP')",7
"('N_NST', 'RP_INTF')",7
"('RP_INJ', 'N_NN')",7
"('RD_SYM', 'DM_DMD')",7
"('DM_DMQ', 'RD_SYM')",7
"('JJ', 'QT_QTF')",7
"('PR_PRL', 'N_NN')",7
"('DM_DMQ', 'DM_DMR')",7
"('RB', 'RD_SYM')",7
"('RP_RPD', 'RP_INTF')",6
"('N_NN', 'V_VAUX')",6
"('RD_SYM', 'QT_QTF')",6
"('CC_CCS_UT', 'V_VM_VINF')",6
"('PSP', 'V_VM_VNG')",6
"('CC_CCD', 'V_VM_VINF')",6
"('DM_DMR', 'RD_PUNC')",6
"('RB', 'RP_NEG')",6
"('CC_CCS', 'N_NNP')",6
"('CC_CCD', 'CC_CCD')",6
"('DM_DMD', 'N_NNP')",6
"('CC_CCS_UT', 'QT_QTC')",6
"('RB', 'QT_QTO')",6
"('RP_NEG', 'V_VM_VF')",6
"('RP_RPD', 'CC_CCD')",6
"('DM_DMQ', 'DM_DMD')",6
"('V_VM_VNG', 'QT_QTC')",6
"('CC_CCS_UT', 'V_VM_VNG')",6
"('RD_SYM', 'RP_RPD')",5
"('RP_NEG', 'CC_CCD')",5
"('V_VAUX', 'V_VM_VF')",5
"('CC_CCS', 'V_VM_VF')",5
"('N_NN', 'RD_UNK')",5
"('RD_UNK', 'N_NN')",5
"('JJ', 'V_VM_VNG')",5
"('QT_QTF', 'N_NNP')",5
"('CC_CCS_UT', 'RP_RPD')",5
"('V_VAUX', 'N_NNP')",5
"('N_NNP', 'DM_DMR')",5
"('DM_DMD', 'V_VM_VNF')",5
"('RP_CL', 'V_VM_VNF')",5
"('PSP', 'V_VAUX')",5
"('RP_NEG', 'JJ')",5
"('RP_RPD', 'CC_CCS_UT')",5
"('DM_DMQ', 'V_VM_VNG')",5
"('RP_CL', 'PR_PRP')",5
"('V_VAUX', 'N_NST')",5
"('NN', 'N_NN')",5
"('RB', 'RP_INTF')",4
"('V_VM_VINF', 'V_VAUX')",4
"('V_VAUX', 'RP_RPD')",4
"('CC_CCS_UT', 'CC_CCD')",4
"('N_NNP', 'CC_CCS')",4
"('N_NN', 'RP_INJ')",4
"('RP_INTF', 'PSP')",4
"('CC_CCD', 'QT_QTO')",4
"('DM_DMD', 'QT_QTO')",4
"('JJ', 'N_NST')",4
"('DM_DMQ', 'PSP')",4
"('RP_RPD', 'PSP')",4
"('QT_QTO', 'RB')",4
"('RD_PUNC', 'PR_PRL')",4
"('QT_QTC', 'DM_DMD')",4
"('V_VM_VINF', 'DM_DMQ')",4
"('QT_QTC', 'QT_QTF')",4
"('V_VAUX', 'QT_QTC')",4
"('JJ', 'V_VM_VINF')",4
"('JJ', 'RP_RPD')",4
"('RP_NEG', 'QT_QTC')",4
"('DM_DMQ', 'N_NST')",4
"('PR_PRL', 'RD_PUNC')",4
"('NN', 'N_NNP')",4
"('V_VM_VINF', 'RP_RPD')",3
"('RP_RPD', 'V_VM_VNG')",3
"('CC_CCS', 'DM_DMQ')",3
"('RB', 'CC_CCD')",3
"('JJ', 'RP_CL')",3
"('RP_INTF', 'QT_QTF')",3
"('V_VM_VINF', 'RP_INTF')",3
"('CC_CCD', 'RP_INTF')",3
"('V_VM_VINF', 'PSP')",3
"('CC_CCS_UT', 'JJ')",3
"('QT_QTF', 'PSP')",3
"('QT_QTO', 'QT_QTO')",3
"('DM_DMR', 'V_VM_VNF')",3
"('V_VAUX', 'PSP')",3
"('JJ', 'DM_DMD')",3
"('QT_QTF', 'V_VM_VINF')",3
"('', 'QT_QTC')",3
"('N_NST', 'RP_NEG')",3
"('CC_CCD', 'RP_RPD')",3
"('V_VM_VNG', 'CC_CCD')",3
"('QT_QTF', 'DM_DMD')",3
"('RP_CL', 'RD_PUNC')",3
"('DM_DMQ', 'CC_CCD')",3
"('DM_DMR', 'V_VM_VINF')",3
