,Four_grams,Frequency
170,"('N_NNP', 'N_NN', 'N_NN', 'RD_PUNC')",70
171,"('N_NN', 'N_NN', 'PSP', 'V_VM_VNF')",70
172,"('N_NN', 'V_VM_VINF', 'N_NN', 'V_VM_VNF')",69
173,"('RD_PUNC', 'N_NN', 'JJ', 'N_NN')",69
174,"('N_NN', 'RD_PUNC', 'N_NN', 'RB')",69
175,"('N_NN', 'N_NN', 'RD_PUNC', 'QT_QTC')",69
176,"('N_NN', 'N_NN', 'N_NN', 'RP_RPD')",67
177,"('N_NN', 'RP_RPD', 'N_NN', 'N_NN')",67
178,"('QT_QTC', 'RD_SYM', 'N_NN', 'N_NN')",66
179,"('N_NNP', 'N_NN', 'RD_PUNC', 'N_NN')",66
180,"('QT_QTC', 'N_NN', 'N_NN', 'RD_PUNC')",65
181,"('RD_PUNC', 'N_NN', 'PSP', 'N_NN')",65
182,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NNP')",64
183,"('RD_PUNC', 'QT_QTC', 'N_NN', 'N_NN')",63
184,"('N_NN', 'RB', 'N_NN', 'V_VM_VF')",63
185,"('N_NN', 'RB', 'N_NN', 'V_VM_VNF')",63
186,"('JJ', 'N_NN', 'RD_PUNC', 'N_NN')",63
187,"('N_NN', 'N_NN', 'N_NNP', 'RD_PUNC')",63
188,"('RD_PUNC', 'N_NN', 'N_NN', 'QT_QTC')",63
189,"('RD_PUNC', 'PR_PRP', 'N_NN', 'V_VM_VNF')",63
190,"('V_VM_VNF', 'JJ', 'N_NN', 'N_NN')",62
191,"('QT_QTC', 'RD_PUNC', 'QT_QTC', 'N_NN')",62
192,"('N_NN', 'N_NN', 'V_VM_VNF', 'RB')",62
193,"('QT_QTC', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",62
194,"('N_NN', 'N_NN', 'QT_QTF', 'N_NN')",61
195,"('N_NN', 'N_NN', 'N_NN', 'CC_CCD')",61
196,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNG')",61
197,"('N_NNP', 'N_NNP', 'N_NN', 'N_NN')",61
198,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VNF')",61
199,"('V_VM_VINF', 'N_NN', 'N_NN', 'V_VM_VNF')",60
200,"('N_NN', 'PSP', 'N_NN', 'V_VM_VF')",60
201,"('N_NN', 'QT_QTC', 'N_NN', 'V_VM_VNF')",60
202,"('QT_QTC', 'N_NN', 'V_VM_VNF', 'N_NN')",60
203,"('V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NN')",60
204,"('N_NN', 'V_VM_VNF', 'N_NN', 'RB')",60
205,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VNF')",60
206,"('N_NNP', 'RD_PUNC', 'N_NNP', 'N_NN')",60
207,"('N_NN', 'N_NN', 'N_NN', 'RD_SYM')",59
208,"('JJ', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",59
209,"('V_VM_VNF', 'QT_QTC', 'N_NN', 'N_NN')",59
210,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'RD_PUNC')",59
211,"('N_NN', 'QT_QTF', 'N_NN', 'N_NN')",58
212,"('N_NN', 'N_NN', 'V_VM_VNF', 'JJ')",58
213,"('RD_PUNC', 'DM_DMD', 'N_NN', 'N_NN')",57
214,"('V_VM_VINF', 'N_NN', 'N_NN', 'V_VM_VF')",57
215,"('N_NN', 'RD_PUNC', 'CC_CCD', 'N_NN')",57
216,"('N_NN', 'V_VM_VNF', 'N_NN', 'PSP')",57
217,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'RD_PUNC')",57
218,"('RD_PUNC', 'RD_PUNC', 'PR_PRP', 'N_NN')",57
219,"('PR_PRP', 'V_VM_VNF', 'N_NN', 'N_NN')",56
220,"('N_NN', 'QT_QTC', 'N_NN', 'V_VM_VF')",56
221,"('DM_DMD', 'N_NN', 'V_VM_VNF', 'N_NN')",55
222,"('N_NN', 'RD_PUNC', 'N_NN', 'PSP')",55
223,"('N_NN', 'DM_DMD', 'N_NN', 'N_NN')",55
224,"('N_NN', 'RD_PUNC', 'RD_PUNC', 'PR_PRP')",55
225,"('V_VM_VNF', 'N_NN', 'PR_PRP', 'N_NN')",54
226,"('N_NN', 'RD_PUNC', 'N_NN', 'JJ')",54
227,"('V_VM_VNF', 'RB', 'V_VM_VF', 'RD_PUNC')",54
228,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VF')",54
229,"('RD_PUNC', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",54
230,"('RD_PUNC', 'N_NN', 'PR_PRP', 'N_NN')",54
