,Tri_grams,Frequency
271,"('JJ', 'N_NN', 'PR_PRP')",51
272,"('RP_INTF', 'V_VM_VF', 'RD_PUNC')",51
273,"('PR_PRP', 'RB', 'V_VM_VNF')",51
274,"('N_NN', 'RD_PUNC', 'N_NST')",50
275,"('V_VM_VINF', 'PR_PRP', 'N_NN')",50
276,"('V_VM_VNF', 'RD_PUNC', 'CC_CCD')",50
277,"('PR_PRP', 'RD_PUNC', 'N_NN')",50
278,"('RB', 'RD_PUNC', 'N_NN')",50
279,"('N_NN', 'RP_RPD', 'V_VM_VF')",49
280,"('DM_DMD', 'N_NN', 'PR_PRP')",48
281,"('N_NN', 'RP_NEG', 'RD_PUNC')",48
282,"('RD_PUNC', 'N_NN', 'N_NST')",48
283,"('RB', 'V_VM_VNF', 'PR_PRP')",48
284,"('PSP', 'QT_QTC', 'N_NN')",48
285,"('RD_PUNC', 'N_NN', 'N_NNP')",48
286,"('N_NN', 'RB', 'V_VM_VINF')",47
287,"('N_NN', 'V_VM_VNF', 'DM_DMR')",47
288,"('DM_DMD', 'N_NN', 'PSP')",47
289,"('RP_RPD', 'RD_PUNC', 'N_NN')",47
290,"('V_VM_VNF', 'RD_SYM', 'N_NN')",47
291,"('QT_QTC', 'N_NN', 'RB')",46
292,"('V_VM_VNF', 'V_VM_VNF', 'V_VM_VF')",46
293,"('RB', 'N_NN', 'RD_PUNC')",46
294,"('PR_PRP', 'N_NNP', 'N_NN')",46
295,"('PSP', 'PR_PRP', 'N_NN')",45
296,"('N_NN', 'RP_RPD', 'PR_PRP')",45
297,"('N_NN', 'RD_PUNC', 'CC_CCS_UT')",45
298,"('V_VM_VINF', 'N_NN', 'PR_PRP')",45
299,"('N_NST', 'QT_QTC', 'N_NN')",45
300,"('N_NST', 'V_VM_VNF', 'RD_PUNC')",45
301,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS_UT')",45
302,"('RB', 'PR_PRP', 'N_NN')",44
303,"('RP_RPD', 'N_NN', 'V_VM_VF')",43
304,"('V_VM_VINF', 'N_NN', 'PSP')",43
305,"('V_VM_VNG', 'N_NN', 'RD_PUNC')",43
306,"('PR_PRP', 'N_NN', 'N_NST')",43
307,"('QT_QTC', 'PSP', 'N_NN')",43
308,"('CC_CCD', 'QT_QTC', 'N_NN')",43
309,"('V_VM_VNF', 'PR_PRP', 'V_VM_VF')",43
310,"('V_VM_VNF', 'RD_PUNC', 'N_NST')",43
311,"('QT_QTF', 'V_VM_VF', 'RD_PUNC')",42
312,"('QT_QTC', 'JJ', 'N_NN')",42
